qid,level,tag,tag_kr,sub,sub_kr,situation_kr,partner_jp,partner_mp3,partner_kr,answer_jp,answer_mp3,answer_kr,d1_jp,d2_jp,d3_jp,hint_kr,mode,section,stage,explain_kr
R112,N4,emotion,감정,difficult,어렵다(솔직한표현),일본어 공부에서 가장 어려운 것이 무엇인지 물었을 때,日本語の勉強で、何が一番難しいですか。,222.mp3,일본어 공부에서 뭐가 가장 어려워요?,聞き取りです。分かったと思っても、細かいところが聞き取れません。,232.mp3,듣기예요. 알았다고 생각해도 디테일한 부분은 잘 안 들려요.,はい、毎日二時間ぐらい勉強します。,そうですね、日本料理が好きです。,いいえ、まだ宿題は終わっていません。,"가장 어려운 영역 하나를 고르고, 왜 어려운지도 함께 말해보세요.",real,3,1,"‘何が一番難しいですか’에는 분야를 먼저 말하고, 이어서 구체적인 이유를 붙이면 안정적입니다."
R113,N4,emotion,감정,difficult,어렵다(솔직한표현),한자를 외우는 것이 역시 힘들지 않냐고 물었을 때,漢字を覚えるのって、やっぱり大変ですか。,223.mp3,한자를 외우는 건 역시 힘들어요?,はい、似ている漢字が多くて、よく間違えます。,233.mp3,네. 비슷한 한자가 많아서 자주 틀려요.,はい、漢字のノートを買いました。,いいえ、今日はひらがなだけ勉強しました。,そうですね、明日は図書館に行きます。,한자가 왜 어려운지 구체적인 이유를 한 가지 덧붙여 보세요.,real,3,1,한자는 ‘似ている漢字が多い’처럼 실제로 헷갈리는 이유를 함께 말하면 더 자연스럽습니다.
R114,N4,emotion,감정,difficult,어렵다(솔직한표현),일본어로 말하는 것이 아직 힘든지 물었을 때,日本語で話すのは、まだ大変ですか。,224.mp3,일본어로 말하는 건 아직 힘들어요?,はい、頭では分かっていても、すぐには出てきません。,234.mp3,네. 머리로는 알고 있어도 바로 나오지 않아요.,はい、友だちと一緒に行きます。,そうですね、発音はきれいですね。,いいえ、昨日はあまり眠れませんでした。,알고는 있지만 바로 말이 안 나오는 느낌을 자연스럽게 말해보세요.,real,3,1,말하기가 어려울 때는 ‘頭では分かっていても、すぐには出てきません’처럼 많이 표현합니다.
R115,N4,emotion,감정,difficult,어렵다(솔직한표현),일본어 발음이 어떤지 물었을 때,日本語の発音、どうですか。,225.mp3,일본어 발음은 어때요?,まだちょっと難しいです。長い言葉は特に言いにくいです。,235.mp3,아직 조금 어려워요. 긴 단어는 특히 말하기 어려워요.,はい、毎朝発音の練習をしています。,そうですね、教室は三階です。,いいえ、今日は雨じゃないです。,발음이 어려운 이유를 한 가지 구체적으로 말해보세요.,real,3,1,발음에 대해 말할 때는 ‘長い言葉は言いにくい’처럼 구체적인 부분을 말하면 자연스럽습니다.
R116,N4,emotion,감정,difficult,어렵다(솔직한표현),일본어를 자연스럽게 말하는 것이 역시 어려운지 물었을 때,日本語で自然に話すのって、やっぱり難しいですか。,226.mp3,일본어로 자연스럽게 말하는 건 역시 어려워요?,はい、言いたいことはあるんですが、うまく言えないことが多いです。,236.mp3,네. 하고 싶은 말은 있지만 잘 말하지 못하는 경우가 많아요.,はい、日本の映画をよく見ます。,そうですね、週末は忙しいです。,いいえ、その店にはまだ行っていません。,하고 싶은 말은 있지만 자연스럽게 안 나오는 느낌을 살려 보세요.,real,3,1,‘自然に話す’가 어려울 때는 말하고 싶은 내용과 실제 표현 사이의 간격을 말해주면 좋습니다.
R117,N4,emotion,감정,difficult,어렵다(솔직한표현),자기 감정을 일본어로 말하는 것이 어떤지 물었을 때,自分の気持ちを日本語で言うのはどうですか。,227.mp3,자기 기분을 일본어로 말하는 건 어때요?,まだ難しいです。簡単な表現を探しながら話しています。,237.mp3,아직 어려워요. 쉬운 표현을 찾으면서 말하고 있어요.,はい、その気持ちはよく分かります。,そうですね、日本語の先生は親切です。,いいえ、今日はあまり時間がありません。,감정을 바로 말하기 어려울 때는 쉬운 표현을 찾는다고 말해보세요.,real,3,1,감정 표현이 어려울 때는 ‘簡単な表現を探しながら話しています’처럼 말하면 매우 자연스럽습니다.
R118,N4,emotion,감정,difficult,어렵다(솔직한표현),일본어는 듣기만 하면 꽤 알아듣는지 물었을 때,日本語を聞くだけなら、けっこう分かりますか。,228.mp3,일본어는 듣기만 하면 꽤 알아들어요?,少しは分かりますが、はやいと難しいです。,238.mp3,"조금은 알아듣지만, 빠르면 어려워요.",はい、日本語の歌をよく聞きます。,そうですね、今日は静かですね。,いいえ、その単語はまだ覚えていません。,조금은 되지만 속도가 빠르면 어렵다는 식으로 답해보세요.,real,3,1,듣기가 완전히 안 되는 것이 아니라 ‘少しは分かる’고 시작하면 훨씬 자연스럽습니다.
R119,N4,emotion,감정,difficult,어렵다(솔직한표현),경어가 어렵지 않냐고 물었을 때,敬語は難しくないですか。,229.mp3,경어는 어렵지 않아요?,はい、場面によって言い方が変わるので難しいです。,239.mp3,네. 상황에 따라 말하는 방식이 달라져서 어려워요.,はい、会社では毎日使います。,そうですね、その人は有名です。,いいえ、今日は授業がありません。,"왜 어려운지, 상황에 따라 달라진다는 점을 붙여 보세요.",real,3,1,경어는 ‘場面によって言い方が変わる’고 설명하면 학습자의 실제 어려움이 잘 드러납니다.
R120,N4,emotion,감정,difficult,어렵다(솔직한표현),일본 드라마나 영화 대사를 듣고 바로 이해하는지 물었을 때,日本のドラマや映画のセリフは、聞いてすぐ分かりますか。,230.mp3,일본 드라마나 영화 대사는 듣고 바로 알아들어요?,いいえ、知らない単語も多いので、難しいです。,240.mp3,아니요. 모르는 단어도 많아서 어려워요.,はい、そのドラマは昨日見ました。,そうですね、映画館は駅の前です。,いいえ、今日は家でゆっくりします。,드라마나 영화 대사가 어려운 이유를 단어와 함께 말해보세요.,real,3,1,드라마나 영화 대사는 속도뿐 아니라 모르는 단어 때문에 어렵다고 말하면 자연스럽습니다.
R121,N4,emotion,감정,surprised,놀라다(뜻밖의반응),최근 가장 놀란 일이 무엇인지 물었을 때,最近、いちばん驚いたことって何ですか。,241.mp3,최근에 가장 놀란 일이 뭐예요?,久しぶりに体重をはかったら、思ったより増えていて驚きました。,251.mp3,"오랜만에 체중을 재 봤더니, 생각보다 늘어 있어서 놀랐어요.",はい、今日は早く寝るつもりです。,そうですね、駅の近くでした。,いいえ、まだ見ていません。,최근 놀란 일을 구체적인 사건으로 말해보세요。,real,3,1,‘いちばん驚いたこと’에는 최근 실제로 있었던 일을 하나 떠올려 구체적으로 답하면 자연스럽습니다。
R122,N4,emotion,감정,surprised,놀라다(뜻밖의반응),그 일에 짐작 가는 이유가 있는지 물었을 때,それはちょっとショックですね。何か心当たりはありますか。,242.mp3,그건 좀 충격이네요. 무슨 짐작 가는 게 있나요?,はい、夜にお菓子をよく食べていたので、そのせいだと思います。,252.mp3,"네, 밤에 과자를 자주 먹었어서 그것 때문인 것 같아요.",はい、毎朝コーヒーを飲みます。,そうですね、静かでいいですね。,いいえ、今日は持っていません。,원인을 한 가지 떠올려 자연스럽게 덧붙여 보세요。,real,3,1,이유를 말할 때는 ‘〜ので、そのせいだと思います’처럼 원인과 추측을 붙이면 매우 자연스럽습니다。
R123,N4,emotion,감정,surprised,놀라다(뜻밖의반응),남의 이야기를 듣고 놀란 적이 있는지 물었을 때,最近、誰かの話を聞いて驚いたことはありますか。,243.mp3,최근에 누군가의 이야기를 듣고 놀란 적이 있나요?,はい、知り合いが急に仕事を辞めたと聞いて驚きました。,253.mp3,"네, 아는 사람이 갑자기 일을 그만뒀다고 해서 놀랐어요.",はい、毎日電車で通っています。,そうですね、その本は有名ですね。,いいえ、今日はあまり寒くないです。,들은 이야기 하나를 들어 왜 놀랐는지 떠올려 보세요。,real,3,1,‘〜と聞いて驚きました’는 남의 이야기를 듣고 놀랐을 때 아주 자주 쓰는 안정적인 표현입니다。
R124,N4,emotion,감정,surprised,놀라다(뜻밖의반응),왜 그렇게 놀랐는지 이유를 말할 때,どうしてそんなに驚いたんですか。,244.mp3,왜 그렇게 놀랐어요?,ずっとその仕事を続けると思っていたからです。,254.mp3,계속 그 일을 할 거라고 생각하고 있었기 때문이에요。,はい、明日は休みです。,そうですね、三回ぐらいです。,いいえ、まだ終わっていません。,이전 예상과 달랐다는 점을 짧게 말해보세요。,real,3,1,놀란 이유를 설명할 때는 ‘〜と思っていたからです’처럼 원래 예상과 달랐다는 점을 말하면 자연스럽습니다。
R125,N4,emotion,감정,surprised,놀라다(뜻밖의반응),가게에서 가격을 보고 놀란 적이 있는지 물었을 때,お店で値段を見て驚いたことはありませんか。,245.mp3,가게에서 가격을 보고 놀란 적 없어요?,あります。前よりかなり高くなっていてびっくりしました。,255.mp3,있어요. 전보다 꽤 비싸져 있어서 깜짝 놀랐어요。,はい、水を一杯お願いします。,そうですね、もう少し歩きます。,いいえ、その店は知りません。,전과 비교해서 얼마나 달라졌는지 말해보세요。,real,3,1,가격에 놀랐을 때는 ‘前よりかなり高くなっていて’처럼 이전과 비교하면 훨씬 자연스럽습니다。
R126,N4,emotion,감정,surprised,놀라다(뜻밖의반응),어떤 가격을 볼 때 특히 놀라는지 말할 때,そういうとき、特に何を見て驚きますか。,246.mp3,그럴 때 무엇을 보고 특히 놀라요?,やっぱり食べ物や飲み物の値段を見ると驚くことが多いです。,256.mp3,역시 음식이나 음료 가격을 보면 놀랄 때가 많아요。,はい、友だちと行く予定です。,そうですね、今日は少し眠いです。,いいえ、まだ決めていません。,특히 놀라는 항목을 하나 골라 말해보세요。,real,3,1,‘何を見て特に驚きますか’에는 구체적인 품목을 들어 답하면 회화가 훨씬 자연스럽게 이어집니다。
R127,N4,emotion,감정,surprised,놀라다(뜻밖의반응),최근에 갑자기 놀란 일이 있었는지 물었을 때,最近、何かびっくりしたことはありましたか。,247.mp3,최근에 무슨 깜짝 놀란 일이 있었어요?,はい、駅で友だちにばったり会ってびっくりしました。,257.mp3,"네, 역에서 친구를 우연히 만나서 깜짝 놀랐어요。",はい、毎日七時に起きます。,そうですね、今日はいい天気ですね。,いいえ、その映画は見ていません。,우연히 일어난 일을 하나 떠올려 답해보세요。,real,3,1,‘ばったり会って’는 우연한 만남에 놀랐을 때 자주 쓰는 표현이라 회화에서 매우 자연스럽습니다。
R128,N4,emotion,감정,surprised,놀라다(뜻밖의반응),그 친구를 자주 보는 사이인지 물었을 때,それはびっくりしますね。よく会う友だちなんですか。,248.mp3,그건 놀라겠네요. 자주 만나는 친구예요?,いいえ、ふだんは全然会わないので、本当に驚きました。,258.mp3,"아니요, 평소에는 전혀 만나지 않아서 정말 놀랐어요。",はい、今日は家で休みます。,そうですね、その辺は静かです。,いいえ、まだ食べていません。,왜 더 놀랐는지 이유를 덧붙여 보세요。,real,3,1,자주 보지 않는 사람이라 더 놀랐다고 말하면 ‘뜻밖의 만남’이라는 느낌이 분명하게 살아납니다。
R129,N4,emotion,감정,surprised,놀라다(뜻밖의반응),사람의 변화에 놀란 적이 있는지 물었을 때,人の変化を見て驚いたことはありますか。,249.mp3,사람의 변화를 보고 놀란 적이 있나요?,はい、久しぶりに会った友だちの雰囲気が変わっていて驚きました。,259.mp3,"네, 오랜만에 만난 친구의 분위기가 바뀌어 있어서 놀랐어요。",はい、その店は駅の前にあります。,そうですね、先週は忙しかったです。,いいえ、今日はあまり時間がありません。,오랜만에 본 사람의 변화에 주목해 답해보세요。,real,3,1,사람의 변화를 말할 때는 ‘雰囲気が変わっていて’처럼 전체적인 인상을 말하면 부담 없이 자연스럽습니다。
R130,N4,emotion,감정,surprised,놀라다(뜻밖의반응),어떻게 달라졌는지 구체적으로 말할 때,どんなふうに変わっていたんですか。,250.mp3,어떻게 달라져 있었어요?,前より明るくなっていて、話し方にも自信がある感じでした。,260.mp3,"전보다 밝아져 있었고, 말투도 자신감이 있는 느낌이었어요。",はい、明日は図書館に行きます。,そうですね、その料理はおいしいです。,いいえ、まだ連絡していません。,변화한 점을 두 가지 정도 이어서 말해보세요。,real,3,1,‘前より〜なっていて’처럼 이전과 비교하면서 두 가지 정도 특징을 붙이면 설명이 훨씬 풍부해집니다。
R131,N4,emotion,감정,jealous,부럽다(간접반응),다음 달 여행을 간다는 말을 듣고 부러움을 섞어 반응할 때,来月、旅行に行くんです。,261.mp3,다음 달에 여행을 가요.,いいですね。私も行きたいです。,271.mp3,좋네요. 저도 가고 싶어요.,はい、今日は少し忙しいです。,いいですね、その店は近いです。,はい、まだ予約していません。,상대의 계획이 좋아 보여서 나도 가고 싶다고 반응해 보세요.,real,3,1,여행 이야기를 들었을 때는 ‘いいですね’로 반응한 뒤 ‘私も行きたいです’처럼 내 마음을 덧붙이면 자연스럽게 부러움을 표현할 수 있습니다.
R132,N4,emotion,감정,jealous,부럽다(간접반응),매일 한국 친구와 언어교환을 한다는 말을 듣고 부럽게 느낄 때,韓国の友だちと毎日エクスチェンジしています。,262.mp3,한국 친구와 매일 언어교환을 하고 있어요.,すごいですね。毎日話せる相手がいるのはちょっとうらやましいです。,272.mp3,대단하네요. 매일 이야기할 상대가 있는 건 조금 부러워요.,はい、朝はパンを食べました。,そうですね、今日は寒いですね。,いいえ、その映画は見ていません。,매일 대화할 상대가 있다는 점이 부럽다고 말해보세요.,real,3,1,‘話せる相手がいる’처럼 부러운 이유를 구체적으로 말하면 단순한 칭찬보다 훨씬 자연스럽게 들립니다.
R133,N4,emotion,감정,jealous,부럽다(간접반응),회사가 쉬는 날이 많다는 말을 듣고 이상적이라고 느낄 때,うちの会社は休みがけっこう多いんです。,263.mp3,우리 회사는 쉬는 날이 꽤 많아요.,そうなんですか。ちゃんと休めるのは、ほんとに理想的ですね。,273.mp3,그래요? 제대로 쉴 수 있는 건 정말 이상적이네요.,はい、駅まで十分ぐらいです。,そうなんですね、字がきれいですね。,いいえ、今日はまだ食べていません。,많이 쉬는 점 자체보다 제대로 쉴 수 있다는 점에 반응해 보세요.,real,3,1,휴일이 많다는 말에는 ‘ちゃんと休める’처럼 삶의 여유에 초점을 두면 부러움이 더 자연스럽게 전달됩니다.
R134,N4,emotion,감정,jealous,부럽다(간접반응),집에서 회사까지 걸어서 간다는 말을 듣고 통근이 편하겠다고 반응할 때,家から会社まで歩いて行けるんです。,264.mp3,집에서 회사까지 걸어갈 수 있어요.,それはいいですね。通勤が楽だと、かなり助かりますよね。,274.mp3,그거 좋네요. 출퇴근이 편하면 많은 도움이 되죠.,はい、昨日は早く寝ました。,そうですか。その本は長いです。,いいえ、まだ連絡していません。,가깝다는 사실보다 출퇴근이 편한 점에 공감해 보세요.,real,3,1,‘通勤が楽だと’처럼 현실적으로 편한 점을 말하면 직접 ‘부럽다’라고 하지 않아도 감정이 자연스럽게 살아납니다.
R135,N4,emotion,감정,jealous,부럽다(간접반응),자주 오는 단골 카페가 있다는 말을 듣고 나도 그런 곳을 갖고 싶다고 말할 때,このカフェ、よく来るお気に入りの場所なんです。,265.mp3,이 카페는 자주 오는 좋아하는 곳이에요.,いいですね。私もそういう場所が一つほしいです。,275.mp3,좋네요. 저도 그런 곳이 하나 있으면 좋겠어요.,はい、今日はここで待ちます。,先週は忙しかったです。,いいですね、その服は買いませんでした。,마음 편히 갈 수 있는 나만의 장소가 부럽다고 말해보세요.,real,3,1,‘そういう場所が一つほしいです’는 직접적인 부러움보다 부드럽게 동경을 드러낼 때 쓰기 좋은 표현입니다.
R136,N4,emotion,감정,jealous,부럽다(간접반응),주말에 별다른 일정 없이 푹 쉴 수 있다는 말을 듣고 여유가 부럽다고 반응할 때,週末はあまり予定がなくて、ゆっくりできそうです。,266.mp3,주말에는 별로 일정이 없어서 푹 쉴 수 있을 것 같아요.,それはいいですね。何もない週末って、逆にぜいたくですよね。,276.mp3,그거 좋네요. 아무 일정 없는 주말은 오히려 사치죠.,はい、その道をまっすぐ行きます。,そうですね、今日は元気です。,いいえ、まだ終わっていません。,바쁘지 않은 주말의 여유를 좋게 받아주는 느낌으로 답해보세요.,real,3,1,‘逆にぜいたくですよね’는 한가한 시간이 오히려 귀하다는 뉘앙스를 자연스럽게 보여주는 말입니다.
R137,N4,emotion,감정,jealous,부럽다(간접반응),긴장해도 얼굴에 잘 드러나지 않는다는 말을 듣고 부럽다고 느낄 때,緊張しても、あまり顔に出ないほうなんです。,267.mp3,긴장해도 얼굴에 별로 드러나지 않는 편이에요.,それは助かりますね。私はすぐ顔に出るので、ちょっとうらやましいですね。,277.mp3,저는 금방 얼굴에 드러나서 조금 부럽네요.,はい、その料理はよく作ります。,わかりません、駅はこの近くです。,いいえ、今日はまだ見ていません。,나는 얼굴에 바로 티가 난다는 점과 비교해서 말해보세요.,real,3,1,내 상황과 비교해 ‘私はすぐ顔に出るので’라고 덧붙이면 부러움이 훨씬 솔직하게 들립니다.
R138,N4,emotion,감정,jealous,부럽다(간접반응),어릴 때부터 피아노를 계속해 왔다는 말을 듣고 대단하다고 느낄 때,子どものころからずっとピアノを続けているんです。,268.mp3,어릴 때부터 계속 피아노를 하고 있어요.,すごいですね。一つのことを長く続けられるのって、ほんとに立派です。,278.mp3,대단하네요. 한 가지를 오래 계속할 수 있다는 건 정말 훌륭해요.,さぁ、今日は早く帰ります。,そうですね、その映画は有名です。,そうですね、今日は寒いですね。,기술 자체보다 오래 계속했다는 점에 초점을 맞춰 보세요.,real,3,1,이번 문장은 직접적인 부러움보다 존경이 섞인 반응입니다. ‘長く続けられる’에 초점을 두면 감정이 또렷해집니다.
R139,N4,emotion,감정,jealous,부럽다(간접반응),피곤할 때도 금방 잠드는 편이라는 말을 듣고 그 체질이 부럽다고 느낄 때,疲れたときでも、わりとすぐ眠れるほうなんです。,269.mp3,피곤할 때도 비교적 금방 잠드는 편이에요.,それは助かりますね。私は逆に、疲れていても寝つけないことがあります。,279.mp3,저는 반대로 피곤해도 잠이 안 올 때가 있어요.,はい、その店にはよく行きます。,そうですね、その辺は静かです。,はい、会社では毎日使います。,나와 비교해서 더 와닿는 느낌으로 답해보세요.,real,3,1,"직접 ‘부럽다’라고 하지 않아도, 내 상황을 비교해 말하면 상대의 상태가 좋아 보인다는 감정이 충분히 전달됩니다."
R140,N4,emotion,감정,jealous,부럽다(간접반응),바쁠수록 더 침착하게 행동한다는 말을 듣고 부럽다고 반응할 때,忙しいときほど、逆に落ち着いて行動するようにしています。,270.mp3,바쁠 때일수록 오히려 침착하게 행동하려고 해요.,すごいですね。私はあわててしまうので、そういうところはうらやましいです。,280.mp3,대단하네요. 저는 허둥대 버려서 그런 점은 부러워요.,はい、そのかばんは軽いです。,そうですね、明日は休みです。,いいえ、まだ電話していません。,내 성향과 비교해서 상대의 장점을 부럽게 받아줘 보세요.,real,3,1,‘私はあわててしまうので’처럼 내 약한 점을 먼저 말하면 상대의 강점이 더 자연스럽게 돋보입니다.
R141,N4,emotion,공감,agree,공감(반응공감),피곤해서 아무것도 하기 싫은 날이 있다고 털어놓을 때,最近、ちょっと疲れていて、何もしたくない日があるんです。,281.mp3,"요즘 조금 피곤해서, 아무것도 하고 싶지 않은 날이 있어요.",私もそうです。無理に動こうとしても、余計に疲れますよね。,291.mp3,"저도 그래요. 억지로 움직이려고 해도, 쓸데없이 더 피곤해져요.",今日は少し早く帰れそうです。,そういう日は音楽を聞きますか。,明日はたぶん忙しくなりそうです。,"상대의 상태를 받아주고, 나도 비슷하다는 공감을 붙여 보세요.",real,3,1,‘私もそうです’는 상대의 감정이나 상태에 부드럽게 공감할 때 자주 쓰는 표현입니다.
R142,N4,emotion,공감,agree,공감(반응공감),할 일이 많으면 무엇부터 해야 할지 모르겠다고 말할 때,やることが多いと、何から始めればいいか分からなくなるんです。,282.mp3,"할 일이 많으면, 뭐부터 시작해야 할지 모르겠더라구요.",たしかにそうですね。頭の中がいっぱいになると、動けなくなりますよね。,292.mp3,"하긴 그래요. 머릿속이 가득 차면, 못 움직이게 되죠.",今日はあまり時間がないんです。,私は朝のほうが集中できます。,先にこれだけ終わらせたいです。,"상대의 상황을 인정해 주고, 왜 그런지 덧붙이면 자연스럽습니다.",real,3,1,‘たしかにそうですね’는 상대 말에 동의하면서 공감의 톤을 부드럽게 만드는 표현입니다.
R143,N4,emotion,공감,agree,공감(반응공감),쉬는 날도 금방 끝나버린다고 아쉬워할 때,休みの日でも、気づいたら終わっていることが多いんです。,283.mp3,쉬는 날도 정신 차려 보면 끝나 있는 경우가 많아요.,ほんとそうですよね。休みの日って、思ったより早く終わりますよね。,293.mp3,정말 그렇죠. 쉬는 날은 생각보다 빨리 끝나죠.,それで、何時ごろ帰ったんですか。,でも、今日は天気がよかったですね。,私は休日は家にいることが多いです。,상대의 아쉬움을 같이 느껴 주는 말로 받아보세요.,real,3,1,‘ほんとそうですよね’는 가볍고 자연스럽게 공감을 표시할 때 많이 쓰입니다.
R144,N4,emotion,공감,agree,공감(반응공감),사람이 많은 곳에 가면 지친다고 말할 때,人が多い場所に行くと、ちょっと疲れてしまうんです。,284.mp3,사람이 많은 곳에 가면 조금 피곤해져요.,それは疲れますよね。人が多いだけで気を使ってしまいますよね。,294.mp3,그건 피곤하죠. 사람이 많은 것만으로도 신경을 쓰게 되요.,はい、まだ予約していません。,昨日は駅の近くまで行きました。,人が少ないと安心します。,상대가 왜 지치는지 이해해 주는 말을 붙여 보세요.,real,3,1,‘それは疲れますよね’는 상대의 고단함을 바로 받아주는 공감 표현입니다.
R145,N4,emotion,공감,agree,공감(반응공감),급할 때일수록 왜인지 깜빡하는 일이 많아진다고 말할 때,急いでいるときほど、なぜか忘れ物が増えるんです。,285.mp3,급할 때일수록 이상하게 깜빡하는 일이 많아져요.,それ、分かります。急いでいると、いつもならしないミスも出ますよね。,295.mp3,그거 알아요. 급하면 평소라면 하지 않을 실수도 나오죠.,この前はちゃんと間に合いました。,急ぐと、鍵を確認したくなります。,朝はわりと忘れ物をしないほうです。,서두를수록 실수가 늘어난다는 공감으로 받아주세요.,real,3,1,‘それ、分かります’는 상대의 실수담이나 당황스러운 상황에 가볍게 공감할 때 자연스럽게 쓰는 표현입니다.
R146,N4,emotion,공감,agree,공감(반응공감),제대로 말하려고 할수록 더 말이 안 나온다고 할 때,ちゃんと話そうとすると、逆にうまく話せなくなるんです。,286.mp3,"제대로 말하려고 하면, 오히려 더 잘 말하지 못하게 돼요.",それはありますね。意識しすぎると、かえって言葉が出にくくなりますよね。,296.mp3,"그런 거 있죠. 너무 의식하면, 오히려 말이 잘 안 나오게 되죠.",相手が優しいと話しやすいです。,私は話す前に少し考えるようにしています。,でも、今日はうまくいきそうです。,너무 의식할수록 더 어려워진다는 공감으로 답해 보세요.,real,3,1,‘意識しすぎると’는 긴장이나 부담 때문에 오히려 잘 안 될 때 자주 쓰는 말입니다.
R147,N4,emotion,공감,agree,공감(반응공감),일찍 자려고 한 날일수록 잠이 잘 안 온다고 할 때,早く寝ようと思った日にかぎって、なかなか寝つけないんです。,287.mp3,"일찍 자려고 한 날일수록, 좀처럼 잠이 오지 않아요.",分かります。早く寝たいのに、なかなか寝られないですよね。,297.mp3,"알아요. 빨리 자고 싶은데, 좀처럼 잠이 안 오죠.",昨日はかなりぐっすり眠れました。,私は夜にお茶を飲むことが多いです。,休みの日は朝寝坊することがあります。,상대의 답답한 마음을 짧고 쉽게 공감해 주세요.,real,3,1,‘分かります’는 짧지만 강하게 공감을 보여 줄 수 있는 기본 표현입니다.
R148,N4,emotion,공감,agree,공감(반응공감),쇼핑을 해도 결국 늘 같은 것을 고른다고 말할 때,買い物に行っても、結局いつも同じものを選んでしまうんです。,288.mp3,쇼핑하러 가도 결국 늘 같은 것을 고르게 돼요.,私もそうです。迷ったら、結局いつものものを選んでしまいますよね。,298.mp3,저도 그래요. 망설이면 결국 늘 고르던 것을 고르게 되죠.,この店は前にも来たことがあります。,今日は何も買わないつもりです。,私は新しいものを見るのが好きです。,상대의 습관에 “나도 그렇다”는 식으로 공감해 보세요.,real,3,1,‘結局’는 여러 선택지 앞에서 결국 익숙한 쪽으로 가게 되는 느낌을 잘 보여 줍니다.
R149,N4,emotion,공감,agree,공감(반응공감),신경 쓰이는 일이 있으면 다른 일에 집중이 안 된다고 할 때,気になっていることがあると、ほかのことに集中できないんです。,289.mp3,"신경 쓰이는 일이 있으면, 다른 일에 집중할 수 없어요.",ほんとそうですよね。頭のどこかでずっと引っかかりますよね。,299.mp3,정말 그렇죠. 머릿속 어딘가에서 계속 걸려 있죠.,今日は別のことを先にやりたいです。,はい、明日は図書館に行きます。,私は考える前に動くことが多いです。,신경이 계속 쓰인다는 느낌으로 공감해 주세요.,real,3,1,‘引っかかる’는 마음이나 머릿속에 뭔가 계속 걸려 있는 느낌을 나타낼 때 자주 씁니다.
R150,N4,emotion,공감,agree,공감(반응공감),열심히 하려고 할수록 헛도는 느낌이 든다고 할 때,頑張ろうと思うほど、空回りすることがあるんです。,290.mp3,"열심히 하려고 할수록, 헛도는 느낌이 들 때가 있어요.",私もそうです。頑張っているのに、うまくいかないとつらいですよね。,300.mp3,저도 그래요. 열심히 하고 있는데도 잘 안 되면 괴로워요.,とりあえず一回休んだほうがよさそうですね。,私はそういう日は甘いものが食べたくなります。,今日は思ったより順調でした。,상대의 답답함과 괴로움을 함께 느껴 주는 말로 받아주세요.,real,3,1,‘空回りする’는 애쓰고 있는데 결과가 따라오지 않는 답답한 상태를 말할 때 쓰는 표현입니다.
R151,N4,relationship,관계 형성,invite,약속 제안,다음에 같이 식사하자고 제안받았을 때,今度、一緒に食事でも行きませんか。,301.mp3,다음에 같이 식사라도 하러 가지 않을래요?,いいですね。ぜひ行きたいです。,311.mp3,좋네요. 꼭 가고 싶어요.,今日は少し早く帰れそうです。,私はそういう日は音楽を聞きます。,明日はたぶん忙しくなりそうです。,제안을 받았을 때는 긍정 반응 + 가고 싶다는 뜻을 짧게 말하면 자연스럽습니다.,real,4,1,‘〜行きませんか’는 부드러운 제안 표현입니다. 답할 때는 ‘いいですね’로 호응하고 ‘行きたいです’로 의사를 덧붙이면 자연스럽습니다.
R152,N4,relationship,관계 형성,invite,약속 제안,상대가 언제가 좋은지 물었을 때 날짜를 제안하는 상황,いいですね。いつがいいですか。,302.mp3,좋네요. 언제가 좋아요?,じゃあ、来週の水曜日はどうですか。,312.mp3,그럼 다음 주 수요일은 어때요?,今日はあまり時間がないんです。,私は朝のほうが集中できます。,先にこれだけ終わらせたいです。,날짜를 제안할 때는 ‘〜はどうですか’를 활용하면 부드럽습니다.,real,4,1,‘いつがいいですか’에는 특정 날짜를 제시하며 답하는 것이 자연스럽습니다. ‘来週の水曜日はどうですか’는 부담 없이 일정을 제안하는 기본형입니다.
R153,N4,relationship,관계 형성,invite,약속 제안,약속 시간을 묻는 말에 가능한 시간을 말하는 상황,水曜日ですね。何時ごろがいいですか。,303.mp3,수요일이군요. 몇 시쯤이 좋아요?,5時過ぎなら、いつでも大丈夫です。,313.mp3,5시 이후라면 언제든 괜찮아요.,それで、何時ごろ帰ったんですか。,でも、今日は天気がよかったですね。,私は休日は家にいることが多いです。,가능한 시간대를 말할 때는 ‘〜なら、いつでも大丈夫です’가 자주 쓰입니다.,real,4,1,‘何時ごろがいいですか’에는 구체적인 가능 시간을 답하면 됩니다. ‘〜なら、いつでも大丈夫です’는 일정 조율에서 매우 자주 쓰이는 표현입니다.
R154,N4,relationship,관계 형성,invite,약속 제안,만날 장소를 정하자는 말에 잘 몰라서 상대에게 맡기는 상황,じゃあ、どこで会いましょうか。,304.mp3,그럼 어디서 만날까요?,すみません、この辺はあまり詳しくないので、お任せしてもいいですか。,314.mp3,"죄송하지만 이 근처는 잘 몰라서, 맡겨도 될까요?",はい、まだ予約していません。,昨日は駅の近くまで行きました。,人が少ないと安心します。,장소를 잘 모를 때는 ‘詳しくないので’와 ‘お任せしてもいいですか’를 함께 쓰면 부드럽습니다.,real,4,1,‘お任せしてもいいですか’는 상대에게 정해 달라고 공손하게 말하는 표현입니다. 처음 만남이나 아직 익숙하지 않은 상황에서 특히 유용합니다.
